,Odds,Amount,Result,Profit,Implied Probability,EV,Long Term Profit
50,190.0,$3.60,W,$1.89,66.00%,$2.47,$-1.13
51,-245.0,$4.00,L,$-4.00,71.00%,$-1.68,$-5.68
52,175.0,$1.75,W,$1.00,64.00%,$1.27,$-0.48
53,-155.0,$1.50,W,$0.97,61.00%,$1.18,$-0.32
54,130.0,$3.75,W,$2.88,57.00%,$3.25,$-0.50
55,100.0,$1.65,W,$1.65,50.00%,$1.65,$0.00
56,-165.0,$2.50,L,$-2.50,62.00%,$-0.60,$-3.10
57,-175.0,$3.80,W,$2.17,64.00%,$2.76,$-1.04
58,-255.0,$0.20,L,$-0.20,72.00%,$-0.09,$-0.29
59,135.0,$4.70,L,$-4.70,57.00%,$-0.66,$-5.36
60,195.0,$0.65,L,$-0.65,66.00%,$-0.21,$-0.86
61,145.0,$2.15,W,$1.48,59.00%,$1.75,$-0.40
62,-230.0,$2.20,W,$0.96,70.00%,$1.33,$-0.87
63,-140.0,$2.25,L,$-2.25,58.00%,$-0.36,$-2.61
64,-155.0,$3.55,W,$2.29,61.00%,$2.78,$-0.77
65,-285.0,$4.00,W,$1.40,74.00%,$2.08,$-1.92
66,-125.0,$2.75,L,$-2.75,56.00%,$-0.33,$-3.08
67,-200.0,$0.95,L,$-0.95,67.00%,$-0.32,$-1.27
68,-295.0,$2.30,W,$0.78,75.00%,$1.16,$-1.14
69,185.0,$1.05,W,$0.57,65.00%,$0.74,$-0.31
70,200.0,$2.80,W,$1.40,67.00%,$1.86,$-0.94
71,185.0,$0.75,L,$-0.75,65.00%,$-0.23,$-0.98
72,-145.0,$3.15,L,$-3.15,59.00%,$-0.57,$-3.72
73,120.0,$4.10,W,$3.42,55.00%,$3.73,$-0.37
74,135.0,$1.40,L,$-1.40,57.00%,$-0.20,$-1.60
75,125.0,$4.20,W,$3.36,56.00%,$3.73,$-0.47
76,135.0,$2.75,L,$-2.75,57.00%,$-0.38,$-3.13
77,180.0,$2.55,W,$1.42,64.00%,$1.83,$-0.72
78,160.0,$3.30,L,$-3.30,62.00%,$-0.79,$-4.09
79,-145.0,$2.15,W,$1.48,59.00%,$1.75,$-0.40
80,-140.0,$0.50,L,$-0.50,58.00%,$-0.08,$-0.58
81,170.0,$1.90,W,$1.12,63.00%,$1.41,$-0.49
82,-115.0,$2.75,W,$2.39,53.00%,$2.56,$-0.19
83,-270.0,$3.15,L,$-3.15,73.00%,$-1.45,$-4.60
84,-205.0,$4.75,W,$2.32,67.00%,$3.12,$-1.63
85,-275.0,$0.75,W,$0.27,73.00%,$0.40,$-0.35
86,-230.0,$2.40,W,$1.04,70.00%,$1.45,$-0.95
87,100.0,$3.65,W,$3.65,50.00%,$3.65,$0.00
88,-270.0,$0.45,L,$-0.45,73.00%,$-0.21,$-0.66
89,-210.0,$2.40,W,$1.14,68.00%,$1.54,$-0.86
90,-265.0,$0.45,L,$-0.45,73.00%,$-0.21,$-0.66
91,100.0,$4.20,W,$4.20,50.00%,$4.20,$0.00
92,170.0,$3.00,W,$1.76,63.00%,$2.22,$-0.78
93,-210.0,$1.40,L,$-1.40,68.00%,$-0.50,$-1.90
94,-270.0,$4.70,W,$1.74,73.00%,$2.54,$-2.16
95,195.0,$4.55,W,$2.33,66.00%,$3.08,$-1.47
96,-270.0,$0.20,L,$-0.20,73.00%,$-0.09,$-0.29
97,-175.0,$2.95,W,$1.69,64.00%,$2.14,$-0.81
98,105.0,$0.30,W,$0.29,51.00%,$0.29,$-0.01
99,-120.0,$2.05,L,$-2.05,55.00%,$-0.21,$-2.26
100,,$239.20,Grand Total,$1.61,,$90.28,$-148.92
