Rank,Name,Team,Position,PosRank
267,Hunter Renfroe,KC,OF,66
268,Matt Wallner,MIN,OF,67
269,Alek Thomas,ARI,OF,68
270,Wilyer Abreu,BOS,OF,69
271,Sal Frelick,MIL,OF,70
272,Kris Bryant,COL,OF,71
273,Bryan De La Cruz,MIA,OF,72
274,Steven Kwan,CLE,OF,73
275,Byron Buxton,MIN,DH,55
276,Kutter Crawford,BOS,SP,66
277,Nathan Eovaldi,TEX,SP,67
278,Andrew Abbott,CIN,SP,68
279,MacKenzie Gore,WSH,SP,69
280,Kenta Maeda,DET,SP,70
281,Nick Lodolo,CIN,SP,71
282,Griffin Canning,LAA,SP,72
283,Brayan Bello,BOS,SP,73
284,Luis Severino,NYM,SP,74
285,Lance Lynn,STL,SP,75
286,Aaron Civale,TB,SP,76
287,Wyatt Langford,TEX,OF,74
288,Jackson Holliday,BAL,SS,28
289,Junior Caminero,TB,3B,28
290,Henry Davis,PIT,OF,75
291,Masyn Winn,STL,SS,29
292,Jordan Lawlar,ARI,SS,30
293,Tyler Black,MIL,2B,29
294,Brett Baty,NYM,3B,29
295,Tyler Stephenson,CIN,C,21
296,Alejandro Kirk,TOR,C,22
297,Elias Díaz,COL,C,23
298,Austin Wells,NYY,C,24
299,Jake Cronenworth,SD,1B,30
300,Rowdy Tellez,PIT,1B,31
301,Joey Meneses,WSH,1B,32
302,Ryan Noda,OAK,1B,33
303,Luke Raley,SEA,1B,34
304,DJ LeMahieu,NYY,1B,35
305,Luis Rengifo,LAA,2B,31
306,Liover Peguero,PIT,2B,32
307,Brice Turang,MIL,2B,33
308,Davis Schneider,TOR,2B,34
309,Brendan Rodgers,COL,2B,35
310,Tim Anderson,CWS,SS,34
311,Orlando Arcia,ATL,SS,35
312,Jon Berti,MIA,3B,32
313,Yoán Moncada,CWS,3B,33
314,J.D. Davis,SF,3B,34
315,Anthony Rendon,LAA,3B,35
316,Adam Duvall,undefined,OF,78
317,Brandon Marsh,PHI,OF,79
318,Oscar Colás,CWS,OF,80
319,Michael Conforto,SF,OF,81
320,Max Kepler,MIN,OF,82
321,Andrew Benintendi,CWS,OF,83
322,Mitch Haniger,SEA,OF,84
323,Charlie Blackmon,COL,OF,85
324,Ramón Laureano,CLE,OF,86
325,Tommy Pham,undefined,OF,87
326,Garrett Mitchell,MIL,OF,88
327,Harold Ramírez,TB,DH,65
328,Marcus Stroman,NYY,SP,77
329,Edward Cabrera,MIA,SP,78
330,Taj Bradley,TB,SP,79
331,Logan Allen,CLE,SP,80
332,Bryan Woo,SEA,SP,81
333,Yusei Kikuchi,TOR,SP,82
334,Reid Detmers,LAA,SP,83
335,Chase Silseth,LAA,SP,84
336,John Means,BAL,SP,85
337,Reese Olson,DET,SP,86
338,Seth Lugo,KC,SP,87
339,Josiah Gray,WSH,SP,88
340,Jameson Taillon,CHC,SP,89
341,Michael Wacha,KC,SP,90
342,Jon Gray,TEX,SP,91
343,J.P. France,HOU,SP,92
344,Nestor Cortes,NYY,SP,93
345,Jack Flaherty,DET,SP,94
346,Tanner Houck,BOS,SP,95
347,Clarke Schmidt,NYY,SP,96
348,Michael Soroka,CWS,SP,97
349,Robert Gasser,SD,SP,98
350,Sean Manaea,NYM,SP,99
351,Keaton Winn,SF,SP,100
352,Emmet Sheehan,LAD,SP,101
353,Jordan Wicks,CHC,SP,102
354,Nick Martinez,CIN,SP,103
355,Tyler Wells,BAL,SP,104
356,JP Sears,OAK,SP,105
357,Joe Boyle,OAK,SP,106
358,Alek Manoah,TOR,SP,107
359,Jacob deGrom,TEX,SP,108
360,Jeffrey Springs,TB,SP,109
361,Max Meyer,MIA,SP,110
362,Clayton Kershaw,LAD,SP,111
363,Luis Garcia,HOU,SP,112
364,Kyle Bradish,BAL,SP,113
365,Justin Lawrence,COL,RP,39
366,Will Smith,KC,RP,40
367,Hunter Harvey,WSH,RP,41
368,Jason Adam,TB,RP,42
369,Kevin Ginkel,ARI,RP,43
370,Ryan Pressly,HOU,RP,44
371,Yennier Cano,BAL,RP,45
372,Taylor Rogers,SF,RP,46
373,Scott Barlow,CLE,RP,47
374,David Robertson,TEX,RP,48
375,Chris Paddack,MIN,SP,114
376,Trevor Rogers,MIA,SP,115
377,Frankie Montas,CIN,SP,116
378,José Quintana,NYM,SP,117
379,Mike Clevinger,CWS,SP,118
380,Michael Kopech,CWS,SP,119
381,Shea Langeliers,OAK,C,25
382,Freddy Fermin,KC,C,26
383,Christian Bethancourt,MIA,C,27
384,Carlos Santana,MIN,1B,36
385,Ryan O'Hearn,BAL,1B,37
386,Seth Brown,OAK,1B,38
387,Nolan Schanuel,LAA,1B,39
388,Mark Canha,DET,1B,40
389,LaMonte Wade,SF,1B,41
390,Wilmer Flores,SF,1B,42
391,Nick Gordon,MIA,OF,93
392,Kyle Farmer,MIN,2B,36
393,Zach McKinstry,DET,2B,37
394,Michael Massey,KC,2B,38
395,Whit Merrifield,PHI,2B,39
396,Amed Rosario,undefined,2B,40
397,Mauricio Dubón,HOU,2B,41
398,Josh Rojas,SEA,2B,42
399,Chris Taylor,LAD,SS,39
400,Nick Senzel,WSH,3B,41
401,Michael Busch,CHC,3B,42
402,Elehuris Montero,COL,3B,43
403,Matt Vierling,DET,3B,44
404,Jake Fraley,CIN,OF,100
405,Ceddanne Rafaela,BOS,OF,101
406,Will Benson,CIN,OF,102
407,Kyle Isbel,KC,OF,103
408,Austin Hays,BAL,OF,104
409,Joc Pederson,ARI,OF,105
410,Estevan Florial,CLE,OF,106
411,Will Brennan,CLE,OF,107
412,Stone Garrett,WSH,OF,108
413,Harrison Bader,NYM,OF,109
414,Jesús Sánchez,MIA,OF,110
415,Edward Olivares,PIT,OF,111
416,DJ Stewart,NYM,OF,112
417,Jake McCarthy,ARI,OF,113
418,Mickey Moniak,LAA,OF,114
419,Alex Kirilloff,MIN,OF,115
420,Eddie Rosario,ATL,OF,116
421,Tyrone Taylor,NYM,OF,117
422,Joey Wiemer,MIL,OF,118
423,Aaron Hicks,LAA,OF,119
424,JJ Bleday,OAK,OF,120
425,Johan Rojas,PHI,OF,121
426,Jesse Winker,undefined,DH,75
427,Mason Miller,OAK,SP,120
428,Matt Brash,SEA,RP,49
429,Bryan Abreu,HOU,RP,50
430,Griffin Jax,MIN,RP,51
431,Aroldis Chapman,PIT,RP,52
432,Erik Swanson,TOR,RP,53
433,Tommy Kahnle,NYY,RP,54
434,Jorge López,NYM,RP,55
435,DL Hall,MIL,SP,121
436,Jordan Hicks,SF,RP,56
437,Jasson Domínguez,NYY,OF,122
438,Pete Crow-Armstrong,CHC,OF,123
439,Heston Kjerstad,BAL,OF,124
440,Colton Cowser,BAL,OF,125
441,Connor Norby,BAL,2B,43
442,Taijuan Walker,PHI,SP,122
443,Adrian Houser,NYM,SP,123
444,Wade Miley,MIL,SP,124
445,Graham Ashcraft,CIN,SP,125
446,Anthony DeSclafani,MIN,SP,126
447,Dane Dunning,TEX,SP,127
448,Ranger Suárez,PHI,SP,128
449,Kyle Gibson,STL,SP,129
450,Patrick Sandoval,LAA,SP,130
451,Zack Littell,TB,SP,131
452,Andrew Heaney,TEX,SP,132
453,Patrick Corbin,WSH,SP,133
454,Michael Lorenzen,undefined,SP,134
455,Erick Fedde,CWS,SP,135
456,Cole Irvin,BAL,SP,136
457,Steven Matz,STL,SP,137
458,Miles Mikolas,STL,SP,138
459,Dean Kremer,BAL,SP,139
460,José Urquidy,HOU,SP,140
461,Brady Singer,KC,SP,141
462,Ross Stripling,OAK,SP,142
463,Kyle Hendricks,CHC,SP,143
464,Paul Blackburn,OAK,SP,144
465,Matt Manning,DET,SP,145
466,Jake Irvin,WSH,SP,146
467,Martín Pérez,PIT,SP,147
468,Drew Smyly,CHC,SP,148
469,Chris Flexen,CWS,SP,149
470,Carlos Carrasco,NYM,SP,150
471,Jake Rogers,DET,C,28
472,Patrick Bailey,SF,C,29
473,René Pinto,TB,C,30
474,Tyler Soderstrom,OAK,C,31
475,Connor Wong,BOS,C,32
476,Yan Gomes,CHC,C,33
477,Emmanuel Rivera,ARI,1B,44
478,Jake Bauers,MIL,1B,45
479,Joey Gallo,WSH,1B,46
480,Brandon Belt,undefined,1B,47
481,Joey Votto,CIN,1B,48
482,Geraldo Perdomo,ARI,2B,44
483,Willi Castro,MIN,2B,45
484,Joey Ortiz,MIL,2B,46
485,Nicky Lopez,CWS,2B,47
486,Garrett Hampson,KC,2B,48
487,Darell Hernaiz,OAK,SS,44
488,Paul DeJong,CWS,SS,45
489,Marco Luciano,SF,SS,46
490,Brayan Rocchio,CLE,SS,47
491,Ezequiel Duran,TEX,SS,48
492,Luis García,WSH,SS,49
493,Jorge Mateo,BAL,SS,50
494,Abraham Toro,OAK,3B,50
495,Jo Adell,LAA,OF,131
496,Joshua Palacios,PIT,OF,132
497,Victor Robles,WSH,OF,133
498,Miguel Andujar,OAK,OF,134
499,Kevin Kiermaier,TOR,OF,135
500,Brenton Doyle,COL,OF,136
501,Trent Grisham,NYY,OF,137
502,Myles Straw,CLE,OF,138
503,Randal Grichuk,ARI,OF,139
504,Manuel Margot,LAD,OF,140
505,James McArthur,KC,RP,65
506,Chris Martin,BOS,RP,66
507,Brusdar Graterol,LAD,RP,67
508,Abner Uribe,MIL,RP,68
509,Kirby Yates,TEX,RP,69
510,A.J. Puk,MIA,RP,70
511,Hector Neris,CHC,RP,71
512,Dylan Floro,WSH,RP,72
513,Dany Jiménez,OAK,RP,73
514,Gregory Santos,SEA,RP,74
515,Giovanny Gallegos,STL,RP,75
516,Dustin May,LAD,SP,151
517,Robbie Ray,SF,SP,152
518,Tyler Mahle,TEX,SP,153
519,Alex Cobb,SF,SP,154
520,Trevor Bauer,undefined,SP,155
521,Lance McCullers,HOU,SP,156
522,Brandon Woodruff,MIL,SP,157
523,Tyler Anderson,LAA,SP,158
524,Luis L. Ortiz,PIT,SP,159
525,Luis Medina,OAK,SP,160
526,Bailey Falter,PIT,SP,161
527,Ryne Nelson,ARI,SP,162
528,Cal Quantrill,COL,SP,163
529,Cody Bradford,TEX,SP,164
530,Travis d'Arnaud,ATL,C,34
531,Iván Herrera,STL,C,35
532,Miguel Amaya,CHC,C,36
533,Nick Fortes,MIA,C,37
534,Jose Trevino,NYY,C,38
535,Tom Murphy,SF,C,39
536,Kyle Higashioka,SD,C,40
537,Miguel Vargas,LAD,1B,49
538,Jonathan Aranda,TB,1B,50
539,Matt Mervis,CHC,1B,51
540,Bobby Dalbec,BOS,1B,52
541,Kiké Hernández,undefined,1B,53
542,Justin Foscue,TEX,2B,50
543,Oswald Peraza,NYY,2B,51
544,Ji Hwan Bae,PIT,2B,52
545,Luis Urías,SEA,2B,53
546,Vidal Bruján,MIA,2B,54
547,Xavier Edwards,MIA,2B,55
548,Adam Frazier,KC,2B,56
549,Adalberto Mondesi,undefined,SS,52
550,Josh H. Smith,TEX,SS,53
551,Mark Vientos,NYM,3B,55
552,Patrick Wisdom,CHC,3B,56
553,Curtis Mead,TB,3B,57
554,Jose Miranda,MIN,3B,58
555,Akil Baddoo,DET,OF,144
556,Drew Waters,KC,OF,145
557,Gavin Sheets,CWS,OF,146
558,Richie Palacios,TB,OF,147
559,Dylan Carlson,STL,OF,148
560,Trevor Larnach,MIN,OF,149
561,Juan Yepez,STL,OF,150
562,Louie Varland,MIN,SP,165
563,Garrett Whitlock,BOS,SP,166
564,Gavin Stone,LAD,SP,167
565,Roansy Contreras,PIT,SP,168
566,Tylor Megill,NYM,SP,169
567,Hayden Wesneski,CHC,SP,170
568,Domingo Germán,undefined,SP,171
569,Alex Faedo,DET,SP,172
570,Brandon Williamson,CIN,SP,173
571,AJ Smith-Shawver,ATL,SP,174
572,Sawyer Gipson-Long,DET,SP,175
573,Emerson Hancock,SEA,SP,176
574,Javier Assad,CHC,SP,177
575,Matt Strahm,PHI,SP,178
576,Allan Winans,ATL,SP,179
577,Casey Mize,DET,SP,180
578,Bryce Elder,ATL,SP,181
579,Dylan Dodd,ATL,SP,182
580,Alec Marsh,KC,SP,183
581,Alex Wood,OAK,SP,184
582,Ryan Yarbrough,LAD,SP,185
583,Colin Rea,MIL,SP,186
584,Jared Shuster,CWS,SP,187
585,Hyun Jin Ryu,undefined,SP,188
586,Joey Lucchesi,NYM,SP,189
587,Prelander Berroa,CWS,SP,190
588,Lucas Erceg,OAK,RP,86
589,Joel Payamps,MIL,RP,87
590,Seranthony Domínguez,PHI,RP,88
591,Adam Ottavino,NYM,RP,89
592,Lucas Sims,CIN,RP,90
593,Jimmy Herget,LAA,RP,91
594,Josh Sborz,TEX,RP,92
595,Julian Merryweather,CHC,RP,93
596,James Karinchak,CLE,RP,94
597,Aaron Ashby,MIL,SP,191
598,Daniel Bard,COL,RP,96
599,A.J. Minter,ATL,RP,97
600,Jonathan Loáisiga,NYY,RP,98
601,JoJo Romero,STL,RP,99
602,Omar Narváez,NYM,C,41
603,Matt Thaiss,LAA,C,42
604,Christian Vázquez,MIN,C,43
605,Luken Baker,STL,1B,54
606,Spencer Horwitz,TOR,1B,55
607,Nick Loftin,KC,1B,56
608,Garrett Cooper,undefined,1B,57
609,Gabriel Arias,CLE,1B,58
610,Nick Pratto,KC,1B,59
611,Michael Toglia,COL,1B,60
612,Ramón Urías,BAL,1B,61
613,Connor Joe,PIT,1B,62
614,Michael Stefanic,LAA,2B,59
615,Jordan Diaz,OAK,2B,60
616,Andy Ibáñez,DET,2B,61
617,Jared Triolo,PIT,2B,62
618,Cavan Biggio,TOR,2B,63
619,Santiago Espinal,TOR,2B,64
620,Jace Peterson,ARI,2B,65
621,Thomas Saggese,TEX,SS,57
622,Kyren Paris,LAA,SS,58
623,Miguel Rojas,LAD,SS,59
624,Eguy Rosario,SD,3B,66
625,Deyvison De Los Santos,CLE,3B,67
626,Isiah Kiner-Falefa,TOR,3B,68
627,Oswaldo Cabrera,NYY,3B,69
628,Carter Kieboom,WSH,3B,70
629,Lawrence Butler,OAK,OF,158
630,Dairon Blanco,KC,OF,159
631,Corey Julks,HOU,OF,160
632,Michael A. Taylor,undefined,OF,161
633,Jason Heyward,LAD,OF,162
634,Luis Matos,SF,OF,163
635,AJ Pollock,undefined,OF,164
636,Sam Hilliard,BAL,OF,165
637,Jurickson Profar,SD,OF,166
638,Mike Yastrzemski,SF,OF,167
639,Mike Tauchman,CHC,OF,168
640,Oscar Gonzalez,NYY,OF,169
641,Jacob Young,WSH,OF,170
642,Cristian Pache,PHI,OF,171
643,Mitch Spence,OAK,SP,192
644,Ben Brown,CHC,SP,193
645,Darius Vines,ATL,SP,194
646,Mick Abel,PHI,SP,195
647,Ian Hamilton,NYY,SP,196
648,Riley O'Brien,STL,SP,197
649,Tyler Holton,DET,RP,104
650,Cade Cavalli,WSH,SP,198
651,Bowden Francis,TOR,RP,106
652,Kody Funderburk,MIN,RP,107
653,Luis Patiño,SD,RP,108
654,Matthew Liberatore,STL,SP,199
655,Spencer Turnbull,PHI,SP,200
656,Mark Leiter,CHC,RP,110
657,David Peterson,NYM,SP,201
658,Eric Lauer,undefined,SP,202
659,Jhony Brito,SD,SP,203
